problem_id,skill
148564,Simplifying Expressions positive exponents
170149,Quadratic Formula to Solve Quadratic Equation
187711,Addition and Subtraction Positive Decimals
28782,Proportion
703178,Simplifying Expressions positive exponents
88964,Congruence
528990,Equivalent Fractions
170132,Quadratic Formula to Solve Quadratic Equation
578212,Mode
400725,Polynomial Factors
66826,"Order of Operations +,-,/,* () positive reals"
163312,Equation Solving More Than Two Steps
107739,Equation Solving Two or Fewer Steps
564940,Calculations with Similar Figures
408874,Rounding
89767,Volume Cylinder
335438,Multiplication and Division Positive Decimals
171423,Area Trapezoid
163340,Equation Solving More Than Two Steps
661471,Angles on Parallel Lines Cut by a Transversal
430350,Write Linear Equation from Situation
74565,Probability of Two Distinct Events
419247,Addition and Subtraction Fractions
109451,Scientific Notation
397564,Equivalent Fractions
15900,Calculation with + - * /
94900,Percent Of
94686,Equation Solving Two or Fewer Steps
415004,Quadratic Formula to Solve Quadratic Equation
75737,Volume Cylinder
160158,Polynomial Factors
402096,Multiplication Fractions
88921,Complementary and Supplementary Angles
529175,Multiplication and Division Integers
403753,Exponents
417988,Addition and Subtraction Fractions
88068,Prime Number
187678,Addition and Subtraction Positive Decimals
187244,Distributive Property
171956,Circumference 
123290,Unit Conversion Within a System
160447,Polynomial Factors
401607,Addition and Subtraction Integers
129528,Finding Slope From Equation
134701,Polynomial Factors
91653,Greatest Common Factor
121941,Greatest Common Factor
510942,Scientific Notation
140020,Complementary and Supplementary Angles
426971,Multiplication and Division Positive Decimals
137652,Interior Angles Figures with More than 3 Sides
429366,Multiplication and Division Positive Decimals
661565,Interior Angles Triangle
87911,Equation Solving Two or Fewer Steps
676347,Surface Area Rectangular Prism
135515,Surface Area Rectangular Prism
254191,Interior Angles Triangle
122855,Unit Conversion Within a System
432882,Conversion of Fraction Decimals Percents
433868,Conversion of Fraction Decimals Percents
604588,Rounding
600788,Stem and Leaf Plot
71641,Complementary and Supplementary Angles
76381,Area Trapezoid
161815,Distributive Property
86991,Proportion
546251,Solving for a variable
335086,Median
518497,Multiplication Whole Numbers
123209,Unit Conversion Within a System
430395,Write Linear Equation from Situation
149231,Simplifying Expressions positive exponents
366546,Order of Operations All
691095,Equivalent Fractions
668066,Perimeter of a Polygon
163277,Equation Solving More Than Two Steps
86804,Multiplication Fractions
89901,Addition and Subtraction Integers
77508,Area Irregular Figure
86670,Addition and Subtraction Fractions
400628,Polynomial Factors
128270,Solving Systems of Linear Equations
418189,Addition and Subtraction Fractions
122667,Unit Conversion Within a System
124185,Unit Conversion Within a System
53329,Ordering Integers
201692,Write Linear Equation from Slope and y-intercept
126290,Surface Area Cylinder
260116,Properties and Classification Circle
374040,Addition and Subtraction Positive Decimals
670265,Complementary and Supplementary Angles
73373,Probability of a Single Event
247827,Mean
170687,Area Circle
419287,Addition and Subtraction Fractions
568933,Rounding
186209,Subtraction Whole Numbers
189189,Addition and Subtraction Integers
340591,Mean
402292,Multiplication Fractions
128153,Volume Prism
125435,Unit Conversion Standard to Metric
87354,Proportion
137653,Interior Angles Figures with More than 3 Sides
93642,Counting Methods
122971,Unit Conversion Within a System
170676,Area Circle
405954,Percent Of
61112,Conversion of Fraction Decimals Percents
71418,Calculations with Similar Figures
618775,"Expanded, Standard and Word Notation"
87619,Equation Solving Two or Fewer Steps
672573,Area Rectangle
658749,Addition and Subtraction Fractions
659943,Equation Solving Two or Fewer Steps
335296,Percent Of
84994,"Order of Operations +,-,/,* () positive reals"
514336,Least Common Multiple
341720,Multiplication Whole Numbers
401285,Exponents
335240,Range
130109,Volume Cone
409260,Addition and Subtraction Fractions
335212,Range
512407,Unit Conversion Within a System
48808,Scatter Plot
86300,Scale Factor
536291,Finding Slope from Ordered Pairs
304908,Addition and Subtraction Positive Decimals
91664,Greatest Common Factor
668741,Properties and Classification Prism
66517,Ordering Positive Decimals
473221,Surface Area Rectangular Prism
418667,Addition and Subtraction Fractions
143082,Angles on Parallel Lines Cut by a Transversal
246918,Least Common Multiple
338627,Addition and Subtraction Integers
341253,Pattern Finding 
603844,Multiplication Fractions
124472,Unit Conversion Within a System
126360,Surface Area Cylinder
169642,Area Rectangle
418624,Addition and Subtraction Fractions
186227,Subtraction Whole Numbers
58797,Exponents
71648,Complementary and Supplementary Angles
2345,Effect of Changing Dimensions of a Shape Prportionally
528172,Substitution
433902,Conversion of Fraction Decimals Percents
401521,Addition and Subtraction Integers
524677,Ordering Fractions
600766,Stem and Leaf Plot
188863,Scientific Notation
129396,Volume Pyramid
186221,Subtraction Whole Numbers
399526,Percent Of
86628,Addition and Subtraction Fractions
400665,Polynomial Factors
97596,Equation Solving Two or Fewer Steps
72598,Calculations with Similar Figures
600463,Table
373596,Rounding
189471,Multiplication and Division Integers
122299,Recognize Linear Pattern
385929,Proportion
86845,Multiplication Fractions
75582,Circumference 
130113,Volume Cone
573688,Addition and Subtraction Integers
524023,Equation Solving Two or Fewer Steps
505616,Number Line
152906,Simplifying Expressions positive exponents
71408,Calculations with Similar Figures
129549,Finding Slope From Equation
93242,Venn Diagram
408777,Rounding
161545,Polynomial Factors
435708,Equation Solving Two or Fewer Steps
122069,Equation Solving Two or Fewer Steps
13605,Volume of 3D Objects
125123,Unit Conversion Standard to Metric
186052,Unit Rate
160518,Polynomial Factors
57581,Venn Diagram
622241,Nets of 3D Figures
171908,Circumference 
114095,Point Plotting
417332,Addition and Subtraction Fractions
341947,Addition Whole Numbers
66573,Ordering Integers
254245,Interior Angles Triangle
530487,Addition and Subtraction Positive Decimals
254077,Interior Angles Triangle
514345,Least Common Multiple
107701,Equation Solving Two or Fewer Steps
423296,Equivalent Fractions
39322,Percent Of
256698,Median
367421,Greatest Common Factor
71508,Calculations with Similar Figures
13080,Percents
89742,Addition and Subtraction Integers
86988,Proportion
340592,Mean
367378,Greatest Common Factor
418064,Addition and Subtraction Fractions
129465,Volume Pyramid
172394,Area Circle
140246,Pythagorean Theorem
123516,Unit Conversion Within a System
341954,Addition Whole Numbers
372888,Multiplication Division by Powers of 10
127630,Surface Area Cylinder
672289,Volume Cylinder
401809,Division Fractions
171964,Circumference 
186392,Subtraction Whole Numbers
417363,Addition and Subtraction Fractions
513239,Circle Graph
77338,Volume Sphere
126225,Volume Sphere
66353,Ordering Positive Decimals
87529,Equation Solving Two or Fewer Steps
127228,Volume Cylinder
172832,Pattern Finding 
185487,Square Root
123035,Unit Conversion Within a System
530671,Combining Like Terms
14807,Percent Increase or Decrease
708247,Median
40429,Estimation
419578,Addition and Subtraction Fractions
170028,Area Triangle
433412,Equation Solving Two or Fewer Steps
170053,Area Triangle
171648,Perimeter of a Polygon
525979,Scientific Notation
129561,Finding Slope From Equation
265887,Properties and Classification Polygons with 5 or more sides
652674,Multiplication and Division Integers
561097,Line Plot
80276,Pythagorean Theorem
408786,Rounding
119376,Probability of a Single Event
409292,Addition and Subtraction Fractions
230599,Counting Methods
408661,Equation Solving More Than Two Steps
123023,Unit Conversion Within a System
702567,Simplifying Expressions positive exponents
127695,Surface Area Cylinder
149022,Simplifying Expressions positive exponents
598639,Parallel and Perpendicular Lines
419163,Addition and Subtraction Fractions
123902,Unit Conversion Within a System
434000,Conversion of Fraction Decimals Percents
634528,Median
75616,Circumference 
89029,Complementary and Supplementary Angles
123271,Unit Conversion Within a System
524149,Addition and Subtraction Integers
128404,Solving Systems of Linear Equations by Graphing
71568,Calculations with Similar Figures
93145,Histogram as Table or Graph
53798,Addition and Subtraction Fractions
152902,Simplifying Expressions positive exponents
93114,Histogram as Table or Graph
430319,Write Linear Equation from Situation
123279,Unit Conversion Within a System
71381,Proportion
583730,Point Plotting
171233,Area Parallelogram
504350,"Order of Operations +,-,/,* () positive reals"
86312,Addition and Subtraction Fractions
107727,Equation Solving Two or Fewer Steps
140247,Pythagorean Theorem
702718,Simplifying Expressions positive exponents
75300,Nets of 3D Figures
419080,Addition and Subtraction Fractions
661481,Angles on Parallel Lines Cut by a Transversal
423025,Write Linear Equation from Graph
408081,Addition and Subtraction Positive Decimals
72633,Calculations with Similar Figures
91060,Mean
173075,Area Trapezoid
173229,Area Rectangle
55102,Solving for a variable
77348,Volume Sphere
406356,Solving Systems of Linear Equations
88538,Multiplication and Division Positive Decimals
256621,Median
124003,Unit Conversion Within a System
631877,Perimeter of a Polygon
661539,Interior Angles Figures with More than 3 Sides
161606,Polynomial Factors
71343,Percent Of
163473,Equation Solving More Than Two Steps
419168,Addition and Subtraction Fractions
186299,Subtraction Whole Numbers
609482,Addition Whole Numbers
169941,Area Triangle
163413,Equation Solving More Than Two Steps
430311,Write Linear Equation from Situation
161855,Distributive Property
433949,Conversion of Fraction Decimals Percents
335503,Multiplication and Division Positive Decimals
417484,Addition and Subtraction Fractions
86169,Least Common Multiple
662064,Circumference 
149093,Simplifying Expressions positive exponents
89530,Circumference 
658494,Multiplication Fractions
122743,Unit Conversion Within a System
201709,Write Linear Equation from Slope and y-intercept
13703,Factoring Trinomials
110112,Range
172852,Pattern Finding 
417518,Addition and Subtraction Fractions
372327,Equivalent Fractions
54166,Multiplication and Division Integers
256648,Median
702966,Simplifying Expressions positive exponents
401033,Write Linear Equation from Situation
45657,Exponents
247888,Mean
405938,Percent Increase or Decrease
670251,Complementary and Supplementary Angles
170850,Area Irregular Figure
127596,Surface Area Rectangular Prism
304881,Addition and Subtraction Positive Decimals
256682,Median
129195,Substitution
466430,Substitution
171690,Perimeter of a Polygon
130207,Volume Cone
408210,Addition and Subtraction Positive Decimals
24307,Finding Percents
53284,Ordering Integers
51385,Histogram as Table or Graph
658362,Division Fractions
399574,Percent Of
423004,Write Linear Equation from Graph
405966,Percent Increase or Decrease
97680,Equation Solving Two or Fewer Steps
86718,Proportion
409295,Addition and Subtraction Fractions
480502,Mean
66379,Ordering Positive Decimals
88302,Equation Solving Two or Fewer Steps
122128,Equation Solving Two or Fewer Steps
232303,Making a Table from an Equation
66180,Ordering Fractions
56689,Scatter Plot
148803,Finding Slope From Situation
398029,Conversion of Fraction Decimals Percents
188136,Multiplication and Division Positive Decimals
414256,Addition and Subtraction Fractions
409315,Addition and Subtraction Fractions
442946,Ordering Positive Decimals
673014,Surface Area Cylinder
397655,Equivalent Fractions
124494,Unit Conversion Within a System
341268,Pattern Finding 
666715,Percent Of
398114,Conversion of Fraction Decimals Percents
417871,Addition and Subtraction Fractions
408552,Equation Solving More Than Two Steps
189179,Addition and Subtraction Integers
557408,Addition and Subtraction Integers
169993,Area Triangle
66669,Ordering Integers
408220,Addition and Subtraction Positive Decimals
57134,Histogram as Table or Graph
335415,Multiplication and Division Positive Decimals
652764,Multiplication and Division Integers
91272,Perimeter of a Polygon
97591,Equation Solving Two or Fewer Steps
256932,Median
163294,Equation Solving More Than Two Steps
254136,Interior Angles Triangle
256974,Median
88393,Equation Solving Two or Fewer Steps
417658,Addition and Subtraction Fractions
88469,Rounding
531433,Order of Operations All
89963,Addition and Subtraction Integers
433879,Conversion of Fraction Decimals Percents
398055,Conversion of Fraction Decimals Percents
430363,Write Linear Equation from Situation
92440,Range
110115,Range
160465,Polynomial Factors
2181,Effect of Changing Dimensions of a Shape Prportionally
593753,Finding Percents
342565,Solving for a variable
71776,Congruence
603872,Multiplication Fractions
172498,Area Parallelogram
254040,Interior Angles Triangle
136306,Conversion of Fraction Decimals Percents
94591,Equation Solving Two or Fewer Steps
372330,Equivalent Fractions
127477,Surface Area Rectangular Prism
14801,Pattern Finding 
584619,Equation Solving Two or Fewer Steps
123539,Unit Conversion Within a System
123238,Unit Conversion Within a System
66441,Ordering Positive Decimals
89864,Addition and Subtraction Integers
223463,Composition of Function Adding
566193,Recognizing Expressions or Equations from Diagrams
408728,Equation Solving More Than Two Steps
66493,Ordering Positive Decimals
702594,Simplifying Expressions positive exponents
187110,Distributive Property
652499,Addition and Subtraction Integers
453090,Division Fractions
84708,Percent Of
125198,Unit Conversion Standard to Metric
617651,Solving for a variable
544481,Least Common Multiple
72,Angles on Parallel Lines Cut by a Transversal
409189,Addition and Subtraction Fractions
123964,Unit Conversion Within a System
134802,Polynomial Factors
123620,Unit Conversion Within a System
71704,Complementary and Supplementary Angles
89706,Addition and Subtraction Integers
169986,Area Triangle
418113,Addition and Subtraction Fractions
472347,Unit Rate
172598,Area Triangle
92360,Range
703177,Simplifying Expressions positive exponents
354808,Mode
128240,Solving Systems of Linear Equations
128125,Volume Prism
51065,Order of Operations All
41521,Equal As Balance Concept
566785,Proportion
149151,Simplifying Expressions positive exponents
522333,Equation Solving Two or Fewer Steps
36912,Multiplication and Division Positive Decimals
93110,Histogram as Table or Graph
619364,Properties and Classification Polygons with 5 or more sides
88128,Equation Solving Two or Fewer Steps
187250,Distributive Property
669491,Percent Increase or Decrease
152868,Simplifying Expressions positive exponents
609350,Equation Solving Two or Fewer Steps
109519,Conversion of Fraction Decimals Percents
658382,Division Fractions
418410,Addition and Subtraction Fractions
122126,Equation Solving Two or Fewer Steps
210612,Equivalent Fractions
334814,Conversion of Fraction Decimals Percents
562173,Conversion of Fraction Decimals Percents
140488,Pythagorean Theorem
13169,Solving System of Equation
404929,Write Linear Equation from Slope and y-intercept
451634,Proportion
660197,Unit Rate
55320,Solving for a variable
169865,Area Triangle
90052,Multiplication and Division Integers
40965,Picking Equation and Inequality from Choices
71809,Calculations with Similar Figures
430278,Write Linear Equation from Situation
561140,Line Plot
223464,Composition of Function Adding
623499,Surface Area Cylinder
257170,Median
401794,Division Fractions
161860,Distributive Property
609900,Computation with Real Numbers
702448,Simplifying Expressions positive exponents
404999,Finding y-intercept from Linear Equation
684219,Factoring Polynomials Standard
66274,Ordering Fractions
54136,Multiplication Fractions
178793,Substitution
87890,Equation Solving Two or Fewer Steps
408131,Addition and Subtraction Positive Decimals
128279,Solving Systems of Linear Equations
417802,Addition and Subtraction Fractions
247746,Mean
500037,Multiplication and Division Positive Decimals
121683,Divisibility Rules
122901,Unit Conversion Within a System
479163,Multiplication and Division Positive Decimals
24270,Addition and Subtraction Positive Decimals
335417,Multiplication and Division Positive Decimals
419528,Addition and Subtraction Fractions
93762,Probability of Two Distinct Events
66618,Ordering Integers
255915,Solving for a variable
702488,Simplifying Expressions positive exponents
43013,Subtraction Whole Numbers
607335,Computation with Real Numbers
86616,Proportion
418110,Addition and Subtraction Fractions
408243,Addition and Subtraction Positive Decimals
652525,Addition and Subtraction Integers
603688,Scale Factor
257354,Median
335180,Mean
502629,Finding Percents
169739,Area Rectangle
170109,Quadratic Formula to Solve Quadratic Equation
170072,Area Triangle
418104,Addition and Subtraction Fractions
505581,Number Line
169669,Area Rectangle
521939,Multiplication and Division Positive Decimals
594716,Addition and Subtraction Integers
122082,Equation Solving Two or Fewer Steps
223451,Composition of Function Adding
161482,Polynomial Factors
89794,Volume Rectangular Prism
419122,Addition and Subtraction Fractions
257640,Properties and Classification Rectangular Prisms
418490,Addition and Subtraction Fractions
421076,Prime Factor
1084,Finding Percents
651,Pattern Finding 
217573,Range
600467,Table
88023,Prime Number
126211,Volume Sphere
254003,Interior Angles Triangle
405028,Write Linear Equation from Ordered Pairs
481231,Addition and Subtraction Integers
264879,Properties and Classification Quadrilaterals
247699,Mean
172363,Area Circle
71718,Complementary and Supplementary Angles
418142,Addition and Subtraction Fractions
119275,Probability of a Single Event
124439,Unit Conversion Within a System
124292,Unit Conversion Within a System
71670,Complementary and Supplementary Angles
659407,Nets of 3D Objects
289613,Box and Whisker
75505,Circumference 
209361,Perimeter of a Polygon
418428,Addition and Subtraction Fractions
334838,Conversion of Fraction Decimals Percents
652369,Addition and Subtraction Integers
359665,Equivalent Fractions
522941,Multiplication Fractions
401213,Square Root
642249,Addition and Subtraction Fractions
90784,Pattern Finding 
53876,Addition and Subtraction Integers
257434,Median
160515,Polynomial Factors
556338,Addition and Subtraction Integers
189244,Addition and Subtraction Integers
537671,Finding Slope from Ordered Pairs
169991,Area Triangle
124500,Unit Conversion Within a System
152901,Simplifying Expressions positive exponents
97689,Equation Solving Two or Fewer Steps
86597,Proportion
127773,Volume Rectangular Prism
86830,Proportion
403372,Proportion
366274,Prime Number
123025,Unit Conversion Within a System
397596,Equivalent Fractions
253906,Interior Angles Triangle
419453,Addition and Subtraction Fractions
619191,Solving Systems of Linear Equations
333336,Combining Like Terms
561588,Multiplication and Division Integers
615892,Solving for a variable
121736,Divisibility Rules
87496,Equation Solving Two or Fewer Steps
434591,Equation Solving More Than Two Steps
514906,Combining Like Terms
460756,Percent Increase or Decrease
264933,Properties and Classification Quadrilaterals
419294,Addition and Subtraction Fractions
170876,Area Irregular Figure
126861,Volume Rectangular Prism
107981,Equation Solving More Than Two Steps
84896,Addition and Subtraction Integers
160524,Polynomial Factors
660080,Unit Rate
561390,Addition and Subtraction Integers
127759,Volume Rectangular Prism
674887,Percent Of
148888,Finding Slope from Ordered Pairs
658647,Division Fractions
256668,Median
504894,Solving for a variable
87863,Equation Solving Two or Fewer Steps
624854,Solving for a variable
417702,Addition and Subtraction Fractions
335187,Mean
93256,Scatter Plot
170001,Area Triangle
201079,Solving Systems of Linear Equations
173052,Area Trapezoid
248192,Mean
248699,Combining Like Terms
321434,Addition and Subtraction Fractions
172032,Circumference 
685460,Equation Solving Two or Fewer Steps
335602,Percent Of
129484,Volume Pyramid
512441,Unit Conversion Within a System
232310,Making a Table from an Equation
97706,Equation Solving Two or Fewer Steps
114245,"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable"
558099,Properties and Classification Triangles
88326,Equation Solving Two or Fewer Steps
90144,Multiplication and Division Integers
85588,Scientific Notation
658552,Multiplication Fractions
257659,Properties and Classification Rectangular Prisms
169696,Area Rectangle
405000,Finding y-intercept from Linear Equation
196214,Percent Increase or Decrease
86937,Proportion
658582,Multiplication Fractions
185980,Unit Rate
170875,Area Irregular Figure
66579,Ordering Integers
674983,Addition and Subtraction Integers
51029,Order of Operations All
72628,Calculations with Similar Figures
418886,Addition and Subtraction Fractions
674904,Percent Of
125207,Unit Conversion Standard to Metric
